date,family,predicted_sales
2017-08-16,AUTOMOTIVE,341.3412780761719
2017-08-16,BABY CARE,25.987884521484375
2017-08-16,BEAUTY,586.2982177734375
2017-08-16,BEVERAGES,171886.921875
2017-08-16,BOOKS,22.03806495666504
2017-08-16,BREAD/BAKERY,27908.822265625
2017-08-16,CELEBRATION,521.2960205078125
2017-08-16,CLEANING,61724.34375
2017-08-16,DAIRY,51376.59765625
2017-08-16,DELI,15521.744140625
2017-08-16,EGGS,8667.4794921875
2017-08-16,FROZEN FOODS,5755.0458984375
2017-08-16,GROCERY I,223024.40625
2017-08-16,GROCERY II,1355.9566650390625
2017-08-16,HARDWARE,49.81361389160156
2017-08-16,HOME AND KITCHEN I,1728.802978515625
2017-08-16,HOME AND KITCHEN II,1669.1842041015625
2017-08-16,HOME APPLIANCES,24.050439834594727
2017-08-16,HOME CARE,14664.337890625
2017-08-16,LADIESWEAR,498.2520751953125
2017-08-16,LAWN AND GARDEN,57287.44921875
2017-08-16,LINGERIE,614.4994506835938
2017-08-16,"LIQUOR,WINE,BEER",4629.91357421875
2017-08-16,MAGAZINES,383.12249755859375
2017-08-16,MEATS,17669.84765625
2017-08-16,PERSONAL CARE,15781.83984375
2017-08-16,PET SUPPLIES,349.24560546875
2017-08-16,PLAYERS AND ELECTRONICS,511.625244140625
2017-08-16,POULTRY,17210.490234375
2017-08-16,PREPARED FOODS,4470.78369140625
2017-08-16,PRODUCE,150506.78125
2017-08-16,SCHOOL AND OFFICE SUPPLIES,32032.923828125
2017-08-16,SEAFOOD,941.8460083007812
2017-08-17,AUTOMOTIVE,313.23883056640625
2017-08-17,BABY CARE,2.8709871768951416
2017-08-17,BEAUTY,424.3548889160156
2017-08-17,BEVERAGES,154732.46875
2017-08-17,BOOKS,1.9006997346878052
2017-08-17,BREAD/BAKERY,24717.802734375
2017-08-17,CELEBRATION,694.9718017578125
2017-08-17,CLEANING,56939.1875
2017-08-17,DAIRY,38119.44140625
2017-08-17,DELI,13619.1513671875
2017-08-17,EGGS,7787.17822265625
2017-08-17,FROZEN FOODS,5680.62548828125
2017-08-17,GROCERY I,204708.765625
2017-08-17,GROCERY II,1222.0950927734375
2017-08-17,HARDWARE,26.24822425842285
2017-08-17,HOME AND KITCHEN I,1563.244384765625
2017-08-17,HOME AND KITCHEN II,1277.8858642578125
2017-08-17,HOME APPLIANCES,2.659846782684326
2017-08-17,HOME CARE,13106.5947265625
2017-08-17,LADIESWEAR,455.36602783203125
2017-08-17,LAWN AND GARDEN,40334.046875
2017-08-17,LINGERIE,483.7020568847656
2017-08-17,"LIQUOR,WINE,BEER",4849.25244140625
2017-08-17,MAGAZINES,342.3431396484375
2017-08-17,MEATS,18588.0625
2017-08-17,PERSONAL CARE,14274.7197265625
2017-08-17,PET SUPPLIES,317.7807312011719
2017-08-17,PLAYERS AND ELECTRONICS,491.0007019042969
2017-08-17,POULTRY,15975.4013671875
2017-08-17,PREPARED FOODS,4021.14208984375
2017-08-17,PRODUCE,94148.5546875
2017-08-17,SCHOOL AND OFFICE SUPPLIES,16661.548828125
2017-08-17,SEAFOOD,802.8765258789062
2017-08-18,AUTOMOTIVE,378.7508850097656
2017-08-18,BABY CARE,16.917078018188477
2017-08-18,BEAUTY,448.3355712890625
2017-08-18,BEVERAGES,177080.265625
2017-08-18,BOOKS,14.693564414978027
2017-08-18,BREAD/BAKERY,27453.37890625
2017-08-18,CELEBRATION,715.8627319335938
2017-08-18,CLEANING,60374.29296875
2017-08-18,DAIRY,41585.53515625
